feature,MI_ClaimNb,MI_ClaimOccur
VehGas_Regular,0.0,0.08076969551446056
VehGas_Diesel,0.0003326514825783278,0.07681682089097164
BonusMalus,0.0038764692447426086,0.032283171795142174
Area_C,0.0,0.025939068370825824
VehBrand_B12,0.0006806623972979153,0.01961053223635334
VehBrand_B1,0.0,0.018684882139676562
Region_R24,0.0008597056418091498,0.01817610494125632
Exposure,0.0024928020904830817,0.018063909172649772
VehBrand_B2,0.0008214995316615514,0.017875086161766918
Area_D,0.0,0.015927653257143293
VehPower,0.00033261933274530975,0.015920574047011193
Area_E,0.0,0.0135977890659289
Area_A,0.0006221616043537992,0.007663088685642583
VehAge,0.0,0.00660133641861127
Region_R82,0.0,0.004669898862144084
Region_R93,0.002070503414851821,0.004409985423209584
Area_B,0.0,0.003998949581828226
Region_R11,0.0,0.0031876407297559695
DrivAge,0.0,0.002750082725600622
Region_R53,0.0004107479296129313,0.0023044245874610514
Region_R91,0.0023520919532975526,0.0020036504512026543
VehBrand_B3,0.0006777519698806245,0.0018841569630987376
Region_R52,0.0,0.0018631775619248891
Density,0.0004196840082091313,0.001633817443831287
Region_R72,6.383179890523394e-05,0.0013953174116483336
VehBrand_B5,0.0011903136978448359,0.0013273895469489982
Region_R31,0.0012678059760959925,0.0011190740539228639
VehBrand_B10,0.0,0.0009629623236004914
VehBrand_B4,0.0018639122853265633,0.0009197906647357978
VehBrand_B6,0.0008763194317227274,0.000680915565856699
Area_F,0.0007637723226743276,0.000676727747316308
Region_R54,0.0017069383514911607,0.0005579817097052242
Region_R73,0.00010989534061245365,0.0003727822629224775
Region_R41,0.0,0.0003460063462605856
Region_R94,0.0014030544962215785,0.00034409471127139213
Region_R83,0.0,0.0003013132577094346
Region_R26,1.2446301285606864e-05,0.00025330689819291763
VehBrand_B13,0.0,0.0002267041719048457
Region_R23,0.0013996873536790133,0.0002117985580765147
Region_R43,0.0019903424727960584,0.0001412096404711516
VehBrand_B11,0.0003172042310515266,0.0001308930615020465
Region_R21,0.0,9.788785537989675e-05
Region_R42,0.0,7.167094713400601e-05
VehBrand_B14,0.0,5.832684305451252e-05
Region_R25,0.0003376119076214934,0.0
Region_R74,0.00020673075933075324,0.0
Region_R22,0.0,0.0
